Bułgaria;lew bułgarski;1 BGN;2.2249;2.4417;-0.4201;9.29
RPA;rand RPA;1 ZAR;0.2417;0.2655;-0.5618;9.37
RPA;rand RPA****;1 ZAR;0.2434;0.2636;-0.7156;7.95
Meksyk;peso meksykańskie;1 MXN;0.1784;0.1961;0.1021;9.47
Japonia;jen;100 JPY;3.4415;3.7778;0.0000;9.32
Japonia;jen****;1 JPY;3.4653;3.7540;-0.2660;8.00
Węgry;forint;100 HUF;1.1949;1.3141;-0.7576;9.50
Węgry;forint****;1 HUF;1.2044;1.3047;-0.7634;7.99
Izrael;nowy izraelski szekel;1 ILS;1.1017;1.2104;-0.3622;9.40
Tajlandia;bat;1 THB;0.1184;0.1303;-0.1533;9.60
Chorwacja;kuna;1 HRK;0.5763;0.6327;-0.4563;9.32
Chorwacja;kuna****;1 HRK;0.5803;0.6286;-0.5537;8.00
Chiny;yuan;1 CNY;0.5425;0.5961;-0.4509;9.42
Chiny;yuan****;1CNY;0.5465;0.5920;-0.5710;8.00
Hong Kong;dolar hongkoński;1 HKD;0.4574;0.5021;-0.2582;9.31
;;;;;
Pieniądze;;;;;
Kraj;Nazwa waluty;Kod waluty;Skup;Sprzedaż;Zmiana %;Spread %
USA;dolar;1 USD;3.5466;3.8924;-0.2639;9.30
USA**;dolar2**;1 USD2;3.4402;4.0092;-0.2637;15.28
USA***;dolar3***;1 USD3;3.5373;3.9017;-0.2633;9.80
USA;dolar****;1 USD;3.5707;3.8681;-0.3452;8.00
EUGiW;euro;1 EUR;4.3518;4.7751;-0.4192;9.28
EUGiW**;euro2**;1 EUR2;4.2212;4.9184;-0.4191;15.26
EUGiW***;euro3***;1 EUR3;4.3404;4.7865;-0.4202;9.78
EUGiW;euro****;1 EUR;4.3809;4.7458;-0.5324;8.00
Wielka Brytania;funt;1 GBP;4.8423;5.3169;0.1375;9.34
Wielka Brytania**;funt2**;1 GBP;4.6970;5.4764;0.1371;15.32
Wielka Brytania***;funt3***;1 GBP;4.8296;5.3296;0.1372;9.84
Wielka Brytania;funt****;1 GBP;4.8764;5.2827;0.0436;8.00
Szwajcaria;frank;1 CHF;4.1111;4.3360;-0.0369;5.32
Szwajcaria*;frank*;1 CHF*;4.1111;4.3360;-0.0369;5.32
Szwajcaria;frank****;1 CHF;4.0548;4.3926;-0.1069;8.00
Kanada;dolar kanadyjski;1 CAD;2.7876;3.0598;0.0327;9.31
Kanada;dolar kanadyjski****;1 CAD;2.8068;3.0406;-0.0362;8.00
Norwegia;korona norweska;1 NOK;0.4156;0.4562;-0.1095;9.31
Norwegia;korona norweska****;1 NOK;0.4184;0.4532;-0.1762;7.98
Rosja;rubel;1 RUB;0.0470;0.0533;-0.1873;12.60
Rosja;rubel****;1 RUB;0.0481;0.0521;-0.1916;8.00
Dania;korona duńska;1 DKK;0.5848;0.6419;-0.5115;9.31
Dania;korona duńska****;1 DKK1;0.5889;0.6378;-0.5768;7.98
Czechy;korona czeska;1 CZK;0.1656;0.1822;-0.3827;9.54
Czechy;korona czeska****;1 CZK;0.1670;0.1808;-0.5501;7.93
Szwecja;korona szwedzka;1 SEK;0.4339;0.4765;-0.1048;9.36
Szwecja;korona szwedzka****;1 SEK;0.4370;0.4733;-0.2108;7.98
Australia;dolar australijski;1 AUD;2.7426;3.0101;0.3634;9.30
Australia;dolar australijski****;1 AUD;2.7613;2.9913;0.2917;8.00
Rumunia;lej rumuński;1 RON;0.8933;0.9816;-0.4664;9.42
Rumunia;lej rumuński****;1 RON;0.8999;0.9748;-0.5712;7.99
Turcja;lira turecka;1 TRY;0.4778;0.5245;-1.2613;9.32
Turcja;lira turecka****;1 TRY;0.4811;0.5211;-1.3068;7.98
Bułgaria;lew bułgarski;1 BGN;2.2249;2.4417;-0.4201;9.29
RPA;rand RPA;1 ZAR;0.2417;0.2655;-0.5618;9.37
RPA;rand RPA****;1 ZAR;0.2434;0.2636;-0.7156;7.95
Meksyk;peso meksykańskie;1 MXN;0.1784;0.1961;0.1021;9.47
Japonia;jen;100 JPY;3.4415;3.7778;0.0000;9.32
Japonia;jen****;1 JPY;3.4653;3.7540;-0.2660;8.00
Węgry;forint;100 HUF;1.1949;1.3141;-0.7576;9.50
Węgry;forint****;1 HUF;1.2044;1.3047;-0.7634;7.99
Izrael;nowy izraelski szekel;1 ILS;1.1017;1.2104;-0.3622;9.40
Tajlandia;bat;1 THB;0.1184;0.1303;-0.1533;9.60
Chorwacja;kuna;1 HRK;0.5763;0.6327;-0.4563;9.32
Chorwacja;kuna****;1 HRK;0.5803;0.6286;-0.5537;8.00
Chiny;yuan;1 CNY;0.5425;0.5961;-0.4509;9.42
Chiny;yuan****;1CNY;0.5465;0.5920;-0.5710;8.00
Hong Kong;dolar hongkoński;1 HKD;0.4574;0.5021;-0.2582;9.31
;;;;;
Średnia NBPKraj;Nazwa waluty;Kod waluty;Średnia NBP
USA;dolar;1 USD;3.7584;;
USA**;dolar2**;1 USD2;3.7584;;
USA***;dolar3***;1 USD3;3.7584;;
USA;dolar****;1 USD;3.7584;;
EUGiW;euro;1 EUR;4.6148;;
EUGiW**;euro2**;1 EUR2;4.6148;;
EUGiW***;euro3***;1 EUR3;4.6148;;
EUGiW;euro****;1 EUR;4.6148;;
Wielka Brytania;funt;1 GBP;5.1327;;
Wielka Brytania**;funt2**;1 GBP;5.1327;;
Wielka Brytania***;funt3***;1 GBP;5.1327;;
Wielka Brytania;funt****;1 GBP;5.1327;;
Szwajcaria;frank;1 CHF;4.2641;;
Szwajcaria*;frank*;1 CHF*;4.2641;;
Szwajcaria;frank****;1 CHF;4.2641;;
Kanada;dolar kanadyjski;1 CAD;2.9477;;
Kanada;dolar kanadyjski****;1 CAD;2.9477;;
Norwegia;korona norweska;1 NOK;0.4400;;
Norwegia;korona norweska****;1 NOK;0.4400;;
Rosja;rubel;1 RUB;0.0501;;
Rosja;rubel****;1 RUB;0.0501;;
Dania;korona duńska;1 DKK;0.6202;;
Dania;korona duńska****;1 DKK1;0.6202;;
Czechy;korona czeska;1 CZK;0.1753;;
Czechy;korona czeska****;1 CZK;0.1753;;
Szwecja;korona szwedzka;1 SEK;0.4598;;
Szwecja;korona szwedzka****;1 SEK;0.4598;;
Australia;dolar australijski;1 AUD;2.8950;;
Australia;dolar australijski****;1 AUD;2.8950;;
Rumunia;lej rumuński;1 RON;0.9479;;
Rumunia;lej rumuński****;1 RON;0.9479;;
Turcja;lira turecka;1 TRY;0.5029;;
Turcja;lira turecka****;1 TRY;0.5029;;
Bułgaria;lew bułgarski;1 BGN;2.3595;;
RPA;rand RPA;1 ZAR;0.2557;;
RPA;rand RPA****;1 ZAR;0.2557;;
Meksyk;peso meksykańskie;1 MXN;0.1891;;
Japonia;jen;100 JPY;3.6484;;
Japonia;jen****;1 JPY;3.6484;;
Węgry;forint;100 HUF;1.2638;;
Węgry;forint****;1 HUF;1.2638;;
Izrael;nowy izraelski szekel;1 ILS;1.1704;;
Tajlandia;bat;1 THB;0.1253;;
Chorwacja;kuna;1 HRK;0.6112;;
Chorwacja;kuna****;1 HRK;0.6112;;
Chiny;yuan;1 CNY;0.5744;;
Chiny;yuan****;1CNY;0.5744;;
Hong Kong;dolar hongkoński;1 HKD;0.4850;;
;;;;;

Sprawdź  kursy walut stosowane przez MasterCard (https://www.mastercard.us/en-us/consumers/get-support/convert-currency.html) .
Zasady i terminy ustalania kursów wymiany walut w Alior Banku SA -  pobierz PDF (${link:{uuid:{9ff30d22-4504-4bf8-b3c4-fd776d989bfb},repository:{dam},path:{/przydatne-dokumenty/klienci-indywidualni/regulaminy/zasady-zmiany-kursow.pdf}}}) 
Ważne:Spread to wyrażona procentowo różnica pomiędzy kursem sprzedaży a kursem zakupu waluty obcej ogłaszanym przez Bank w tabeli kursów walut, wyliczany według wzoru: Spread = (kurs sprzedaży waluty - kurs kupna waluty) / [0,5*(kurs sprzedaży waluty + kurs kupna waluty)] *100%).
Zmiana procentowa oznacza zmianę kursu sprzedaży liczoną względem ostatniego kursu z poprzedniego dnia roboczego.
Kursy walut mogą być prezentowane z maksymalnie 30 minutowym opóźnieniem w stosunku do kursów transakcyjnych w systemach Banku.
Dla walut AUD, CAD, CHF, CZK, DKK, RUB, RON, TRY, BGN, ZAR, MXN,HUF, JPY, Alior Bank obecnie nie prowadzi obsługi gotówkowej.
* dotyczy transakcji w ramach Konta oszczędnościowego KANTOR** dotyczy płatności bezgotówkowych realizowanych kartami klientów indywidualnych*** dotyczy płatności bezgotówkowych realizowanych kartami klientów biznesowych****dotyczy kursów walut z tabel stosowanych dla umów kredytowych w ramach działalności przejętej przez Alior Bank 4 listopada 2016 r.

Źródło: www.aliorbank.pl
